account_id,user_id,account_created_date,account_type,kyc_level,country,status,account_segment,is_mule,mule_ring_id
0a4ec483-be79-4f61-923e-a84fc2c6984e,d04c0d27-e4a6-49e3-b681-ab6a09ce11c8,2022-02-06 21:05:53,savings,basic,UK,active,suspicious,False,
4b252c27-1c8e-45d4-b62f-f5e285868eef,84fc9626-2bb4-4994-8796-42a09b5e4f85,2023-09-21 00:34:20,savings,basic,BR,active,benign,False,
1a40881c-a557-4d78-961d-6604042340a9,c32f2d23-4b30-4e5f-8070-33bd4039162d,2019-10-23 03:53:41,wallet,basic,IN,suspended,benign,False,
983ff0cd-e8c2-482a-a767-51c06f4d7b94,218b484b-b9c0-4788-bac5-9355e27930a5,2019-12-28 03:49:56,wallet,full,SG,suspended,benign,False,
3ae39c29-ee45-4dd6-b53b-4ab25a25ed6c,92166e1e-8241-43e1-9502-c36fb09393e0,2025-05-29 07:55:35,savings,full,US,suspended,benign,False,
8f016925-d4a9-480b-b863-a2f35bdaa73d,9a5b451f-b67f-4817-9f46-d2df56e3b9cb,2019-12-26 23:03:44,wallet,basic,UK,active,benign,False,
fdf5103f-b953-4981-8271-232dd41fbc7c,e860dc30-71ca-4817-b97b-55fdc68deed1,2023-09-03 13:36:08,current,basic,UK,closed,benign,False,
59af3162-0361-4e68-8926-4ccc581b6efa,274f4dc9-18a2-465c-9200-99f03835705a,2018-03-14 09:05:41,current,basic,IN,active,suspicious,False,
6b210357-3464-488f-9503-7a9df04a1742,0b148786-acf5-4100-a58b-59d2f413c998,2019-04-17 03:18:24,savings,full,UK,active,benign,False,
2412b082-d85c-47e4-86db-9e44c9e07c3c,4f6555ee-56c3-4dba-86ad-ba533cdfee8a,2018-07-27 11:25:07,current,full,SG,closed,benign,False,
6a1f6497-df23-4d87-9a87-17c6edae8dbd,68cb0d79-fc17-4882-9f1a-103f4d68592f,2023-06-12 10:47:14,current,basic,UK,closed,benign,False,
43ecba4e-2cb8-4810-9291-98f6b4b862c7,be1840dc-8efb-4d70-991a-1ad3c43aaf16,2024-06-01 10:29:47,wallet,basic,IN,active,benign,False,
84720029-509c-4dd9-98fc-4f54e3c6a3fa,9d64134f-df38-4987-8906-8d7eecf05def,2015-11-15 22:15:27,wallet,full,BR,suspended,benign,False,
fffffcdb-59b4-4c98-9110-74753cc82c90,9280ec49-1858-40b5-9a18-9528c525f0b1,2023-07-02 23:58:53,wallet,full,SG,suspended,benign,False,
cfd9d114-23c7-4ecb-b9b0-fcb8f5faebd2,334fcac4-0624-42e0-af73-8a737bbd95c2,2023-09-19 12:26:58,wallet,basic,BR,closed,benign,False,
da1a7c99-55d1-40ff-99a4-1797e1aca593,3d564476-fdb1-40ca-9946-bbc823327f4d,2023-02-24 14:40:09,current,basic,US,active,benign,False,
98c40a6d-d8a9-41a6-ab64-cfcf5dfc9051,3274d6bf-511d-4b39-b46b-7aef191ab58c,2019-02-19 20:44:03,savings,basic,IN,suspended,mule,True,8.0
ca0bf176-f7cb-40bb-a9b1-c1d98f1261c4,9b1f2d82-be0f-4fc4-9301-d0f96f9ba80a,2016-09-23 11:35:22,wallet,full,US,suspended,benign,False,
0ed4a381-99ff-4d47-96d7-c3ea99bb3c86,fba3f34c-58e7-484a-b97a-4457d558996d,2023-07-08 23:12:41,current,basic,US,closed,benign,False,
9aa68242-4a16-4735-bff2-7bb5ccefd309,321880df-190e-4c04-82c4-5002d05e150a,2018-11-27 15:42:14,wallet,full,US,active,benign,False,
445bbc5e-a4de-45fd-a07b-49e4558041e3,04f53197-811f-4831-9165-ae5e148b3909,2021-05-18 17:26:06,current,basic,US,closed,benign,False,
524359dd-d7b3-4abb-a2c9-69e1240f706c,050bafd2-33f2-4550-a873-b0f8b8808d1f,2019-02-20 18:28:40,wallet,basic,IN,active,benign,False,
97567897-0716-4ecb-a1d3-7459b5494d75,a26985fb-f297-41c0-9879-2300e74f7f8a,2019-02-25 01:27:24,savings,basic,BR,active,benign,False,
31897e58-8b56-4899-a722-f7a8fdcb5c31,478d3c64-ebbd-46aa-ab2a-d8884dbd96a1,2017-09-27 17:00:23,wallet,full,UK,active,benign,False,
b1652a37-79d5-43c5-812c-96f0eda6bf53,236ce53a-b82d-431e-922f-61b5a255eef6,2022-02-12 23:27:57,savings,basic,US,active,benign,False,
7e269520-ad60-46d5-917a-eddffa1da4ba,1d213e58-3a29-4773-84cb-7c25e89e6703,2021-07-03 05:40:41,wallet,full,UK,active,benign,False,
6fb9ddcc-6426-41d1-84b0-bf1b012bf43c,c8d7c813-c639-4328-8b57-384c36afe666,2020-07-21 19:42:36,wallet,basic,UK,active,suspicious,False,
7603561d-c4ba-4ea1-bf66-a74d34c84d57,5c895b98-49e3-4a33-9e36-62038de8b303,2016-10-13 03:39:21,wallet,full,US,suspended,benign,False,
bcfe6c9d-d7c8-490a-acea-922134857f9a,22ba903e-35c4-4c35-89b8-fcbcc7786332,2017-09-14 19:29:56,current,basic,SG,suspended,benign,False,
669bc0ee-f251-465d-b071-fc38014023cd,4e954a62-52a9-423a-bbec-4f4e1c09bc1d,2022-02-02 06:38:56,current,full,UK,suspended,suspicious,False,
b7b855f8-24bc-4eba-873a-56b298fe18e4,dcf5205d-4df7-4761-8ae0-a4cffee9696a,2023-04-18 13:37:08,savings,basic,SG,suspended,mule,True,3.0
ea776fcf-89cd-497a-a29d-f54eb6b02b91,1a7cedf4-a2e0-487e-9700-3bcc1d483cc6,2021-12-18 05:33:06,savings,full,BR,active,benign,False,
f3759756-f5a8-420e-901b-d6c6fa99652c,6b4ce330-f0e1-4817-abcf-d29b472bd86f,2024-08-14 22:43:48,current,full,UK,suspended,benign,False,
5e9bec88-63b0-4689-bcd5-af04d17d1725,6d48202c-db3a-4d60-b5c4-dd3a265d5657,2017-07-28 14:51:59,savings,basic,IN,active,suspicious,False,
864a1b65-5a6c-46d8-9318-019aea008f0c,cf48cab8-ee42-4995-b343-8c6f09992925,2024-11-29 19:58:14,savings,full,BR,closed,benign,False,
25f96795-d9e9-467e-80a0-787321ef03fb,b2cc20b9-43b9-4774-91c5-fa73ceda873a,2024-05-19 06:56:11,current,full,BR,closed,benign,False,
357517bc-6003-4e68-b5ac-7b04255462ad,9ef0a4b8-1f4e-4fe7-9766-1185eff2f065,2023-09-19 03:54:23,current,basic,SG,suspended,benign,False,
559f62d0-25b9-4b53-9215-2301be40b07c,93e15f50-0dbc-4506-96c2-050a6703bc00,2017-03-09 00:31:51,current,full,US,active,benign,False,
8258fd3e-5111-43c3-8821-57f937babbba,9ac6ee97-8c9d-4cbc-a42d-b7cebdd7f13d,2023-03-15 01:55:18,current,basic,IN,suspended,benign,False,
d07c19f6-f510-4704-bbfc-a4c1324dc80e,5e25225e-d707-4bef-b6a4-8475d93b18b4,2017-12-09 21:38:31,wallet,basic,IN,active,benign,False,
e67e1eaf-bfbe-4d99-b510-68a0d5d4d4e5,3dfcd2d6-01cf-4213-baae-0fcd9ef725ef,2023-10-30 16:54:41,current,full,SG,suspended,benign,False,
3d72336b-b426-44d5-be91-fc02dcdae84d,8d87203e-73a1-43e7-a6b9-edf36f176871,2024-08-19 23:06:20,savings,full,SG,closed,benign,False,
949f6d26-07f7-46da-9424-3d07860fdd91,a9a1652c-de71-4530-9ba2-af310b6aa434,2023-09-12 12:14:49,wallet,full,BR,closed,benign,False,
b82c3e7d-58c6-4a1b-8018-4f6c4a248f4b,6036476d-ff76-4fe9-ad31-aea27bc92621,2020-06-12 16:15:40,wallet,full,SG,suspended,benign,False,
95283cfa-1a15-48c1-b996-b9978c3a6e91,4f9a72d9-1d10-4ab9-bf20-e5dfdf23919a,2022-05-08 10:25:36,savings,full,US,suspended,benign,False,
