Beneficiary ID,score_b,score_r,score_d,score_a,meta_prob,rule_risk_score,final_fraud_score
B100000,0.3476168,0.312144,0.4295667,0.24776888,0.22672684999194762,0.2,21.336342499597382
B100001,0.39137068,0.312144,0.3814051,0.32662654,0.3579076689931304,0.2,27.89538344965652
B100002,0.9832913,0.9929214,0.3629353,0.41157857,0.9976222112246348,0.2,59.88111056123174
B100003,0.25197998,0.312144,0.22201964,0.31999087,0.07156817385348607,0.2,13.578408692674305
B100004,0.31308502,0.312144,0.45294425,0.33232132,0.3787228999723081,0.2,28.93614499861541
B100005,0.09629103,0.312144,0.406693,0.45426697,0.27510213305012243,0.4,33.75510665250612
B100006,0.21312056,0.312144,0.34308097,0.2079179,0.04854866184289463,0.2,12.427433092144732
B100007,0.2776108,0.312144,0.37152374,0.3593349,0.2651903639629138,0.0,13.25951819814569
B100008,0.09629103,0.312144,0.335309,0.36053598,0.08958759970649434,0.0,4.479379985324717
B100009,0.28818607,0.312144,0.4334284,0.3333902,0.31738538055880106,0.4,35.86926902794006
B100010,0.31978244,0.312144,0.32542518,0.1846744,0.06378295520149042,0.0,3.1891477600745213
B100011,0.14143111,0.312144,0.33117825,0.41200072,0.1660986963601268,0.2,18.30493481800634
B100012,0.29350033,0.312144,0.4541749,0.36283234,0.4200999848654318,0.4,41.00499924327159
B100013,0.24916272,0.312144,0.3888814,0.18390433,0.06494706408113457,0.2,13.247353204056727
B100014,0.26216152,0.312144,0.20674406,0.24490559,0.035757350515682094,0.2,11.787867525784106
B100015,0.26216152,0.312144,0.45245802,0.3326137,0.31145454451396565,0.2,25.572727225698284
B100016,0.29350033,0.312144,0.4296256,0.45384628,0.5838777685432055,0.4,49.193888427160275
B100017,0.25197998,0.312144,0.36449027,0.3966221,0.2937542038152339,0.0,14.687710190761697
B100018,0.25134477,0.312144,0.33652034,0.2955769,0.11951233331437841,0.0,5.9756166657189205
B100019,0.26438934,0.312144,0.22288565,0.41960916,0.1715347907699457,0.2,18.576739538497286
B100020,0.31952193,0.312144,0.22244443,0.43295747,0.243477651168535,0.2,22.17388255842675
B100021,0.09629103,0.312144,0.5231142,0.38015223,0.3015623004640472,0.4,35.07811502320236
B100022,0.26216152,0.312144,0.2940322,0.2064606,0.04558522098455827,0.2,12.279261049227914
B100023,0.14143111,0.312144,0.29594588,0.43886188,0.16629538172602967,0.2,18.314769086301485
B100024,0.25197998,0.312144,0.43552813,0.32892,0.2682087999029978,0.2,23.41043999514989
B100025,0.33190244,0.312144,0.39932844,0.511609,0.7070069418482073,0.4,55.35034709241037
B100026,0.33445624,0.312144,0.2910929,0.337744,0.1914461949028683,0.2,19.572309745143414
B100027,0.14143111,0.312144,0.35128632,0.3691796,0.13408219983114958,0.6,36.70410999155747
B100028,0.29350033,0.312144,0.31680888,0.44921556,0.38123290883687794,0.4,39.06164544184389
B100029,0.33800936,0.312144,0.33128867,0.35062364,0.26422905267035063,0.2,23.21145263351753
B100030,0.24632137,0.312144,0.61903006,0.30633566,0.5067315311763867,0.2,35.33657655881933
B100031,0.26216152,0.312144,0.32706055,0.60410774,0.6937336036381533,0.6,64.68668018190766
B100032,0.26216152,0.312144,0.2536881,0.3591199,0.12709222791835814,0.0,6.354611395917907
B100033,0.28117684,0.312144,0.37409893,0.30096245,0.18042865287115695,0.2,19.021432643557848
B100034,0.26216152,0.312144,0.44329205,0.32364577,0.2811751660915012,0.2,24.05875830457506
B100035,0.26216152,0.312144,0.37879345,0.31163204,0.1832185713081998,0.0,9.16092856540999
B100036,0.39260268,0.312144,0.330963,0.36255816,0.3547369880689929,0.2,27.736849403449646
B100037,0.29350033,0.312144,0.38826802,0.19995,0.09401127031262219,0.2,14.70056351563111
B100038,0.36665305,0.312144,0.20366323,0.18084517,0.03591548850931308,0.2,11.795774425465655
B100039,0.3425702,0.312144,0.39377528,0.5049402,0.6992920981229483,0.4,54.96460490614742
B100040,0.26216152,0.312144,0.36364362,0.4625776,0.44487928923924,0.4,42.243964461962
B100041,0.21002118,0.312144,0.3775326,0.21564339,0.0638894087905918,0.0,3.1944704395295895
B100042,0.29350033,0.312144,0.3629353,0.2646577,0.13585672313429156,0.2,16.79283615671458
B100043,0.9868002,0.312144,0.3447056,0.43176854,0.9734535395930549,0.2,58.67267697965275
B100044,0.29350033,0.312144,0.36177057,0.22278307,0.09617037221821222,0.0,4.80851861091061
B100045,0.16996604,0.312144,0.24038248,0.34959152,0.06630409655814617,0.2,13.315204827907309
B100046,0.14143111,0.312144,0.48146626,0.338631,0.22385598475096424,0.2,21.19279923754821
B100047,0.9832913,0.9929214,0.42945474,0.42727396,0.9986983952063345,0.6,79.93491976031673
B100048,0.09629103,0.312144,0.19580017,0.4168007,0.05894195787859356,0.2,12.94709789392968
B100049,0.35465592,0.312144,0.24512567,0.35458738,0.18438690255918536,0.4,29.21934512795927
B100050,0.2817811,0.312144,0.37409893,0.45698008,0.4786501672292027,0.4,43.93250836146014
B100051,0.25197998,0.312144,0.2627668,0.35212693,0.12052714539486746,0.0,6.026357269743373
B100052,0.09629103,0.312144,0.24012227,0.24935547,0.018118852662250145,0.2,10.905942633112508
B100053,0.30336502,0.312144,0.26437354,0.25617617,0.07229130590877578,0.0,3.614565295438789
B100054,0.33792037,0.312144,0.50641525,0.29015407,0.40981052767343645,0.4,40.49052638367182
B100055,0.36665305,0.312144,0.35860533,0.38161662,0.405004171986788,0.2,30.250208599339402
B100056,0.09629103,0.312144,0.43182904,0.3792551,0.1854572518800965,0.4,29.272862594004827
B100057,0.09629103,0.312144,0.33117825,0.34145436,0.07436561635719542,0.2,13.718280817859771
B100058,0.23862451,0.312144,0.39271486,0.33694884,0.2133613646116911,0.0,10.668068230584556
B100059,0.26110518,0.312144,0.2573992,0.32931542,0.10160404383815201,0.0,5.080202191907601
B100060,0.98827165,0.9929214,0.3464656,0.37540358,0.996403005069395,0.6,79.82015025346976
B100061,0.23967649,0.312144,0.29097092,0.3349613,0.11702579389230905,0.2,15.851289694615453
B100062,0.14143111,0.312144,0.39274085,0.36053598,0.16011576210242634,0.4,28.005788105121322
B100063,0.29350033,0.312144,0.26830995,0.19733173,0.042302276239939055,0.0,2.115113811996953
B100064,0.98794866,0.312144,0.59023905,0.41241238,0.99412504645309,0.4,69.7062523226545
B100065,0.25971228,0.312144,0.4171991,0.21394219,0.10572779593682459,0.2,15.28638979684123
B100066,0.25197998,0.312144,0.29788366,0.39311433,0.20258759121632441,0.0,10.12937956081622
B100067,0.26216152,0.312144,0.40630412,0.23025186,0.11432392279766533,0.2,15.716196139883268
B100068,0.26216152,0.312144,0.24512567,0.53286,0.4013358015983562,0.4,40.066790079917816
B100069,0.14143111,0.312144,0.3041439,0.28400767,0.04883597622162135,0.2,12.441798811081068
B100070,0.99495834,0.9929214,0.4060086,0.53652954,0.9994722237285668,0.2,59.97361118642834
B100071,0.25197998,0.9929214,0.44253343,0.5765855,0.9785827623115572,0.8,88.92913811557786
B100072,0.2866341,0.312144,0.43552813,0.43908215,0.5509791982868057,0.4,47.54895991434029
B100073,0.14143111,0.312144,0.44112742,0.6257312,0.7500283288452426,0.4,57.50141644226213
B100074,0.25197998,0.312144,0.47338268,0.4012655,0.47970333262721426,0.2,33.98516663136071
B100075,0.14143111,0.312144,0.21737263,0.2863114,0.02795816382665547,0.2,11.397908191332775
B100076,0.25197998,0.312144,0.12644616,0.44252026,0.10855800367250461,0.2,15.427900183625232
B100077,0.26216152,0.312144,0.45910764,0.4529799,0.5870178667298843,0.4,49.35089333649422
B100078,0.29350033,0.312144,0.38089347,0.34846988,0.2767499023716287,0.4,33.83749511858144
B100079,0.26216152,0.312144,0.4897191,0.62745947,0.8962765951512498,0.4,64.81382975756249
B100080,0.25197998,0.312144,0.47265154,0.4309402,0.5460300540468827,0.2,37.30150270234414
B100081,0.9832913,0.9929214,0.8135826,0.38036007,0.9998598832626683,0.0,49.99299416313342
B100082,0.29350033,0.312144,0.40773383,0.26109642,0.17184276964078052,0.0,8.592138482039026
B100083,0.29350033,0.312144,0.3928899,0.4361862,0.4808201305318064,0.2,34.04100652659032
B100084,0.9946866,0.9929214,0.3718601,0.4083811,0.9978462373906241,0.8,89.8923118695312
B100085,0.27961805,0.312144,0.35128632,0.39094228,0.2975682600833696,0.2,24.878413004168483
B100086,0.3851466,0.312144,0.12925017,0.4413284,0.21104445194253357,0.4,30.552222597126676
B100087,0.33278596,0.312144,0.43010783,0.32514694,0.35357562314023133,0.0,17.678781157011567
B100088,0.9821483,0.312144,0.38089347,0.8001722,0.999245558539712,0.2,59.9622779269856
B100089,0.09629103,0.312144,0.35853148,0.18064861,0.021873450269957177,0.0,1.0936725134978589
B100090,0.280458,0.312144,0.36486286,0.4144119,0.36684936765564835,0.2,28.342468382782414
B100091,0.17617862,0.312144,0.35853148,0.44779575,0.2902206392896527,0.0,14.511031964482635
B100092,0.09629103,0.312144,0.2821031,0.24435496,0.023030345496001938,0.0,1.1515172748000968
B100093,0.99453247,0.9929214,0.26437354,0.3625299,0.9931388110683169,0.6,79.65694055341585
B100094,0.26216152,0.312144,0.23476464,0.37527522,0.1289385135045485,0.2,16.446925675227426
B100095,0.14143111,0.312144,0.38185218,0.3476863,0.13586798587508803,0.0,6.793399293754401
B100096,0.29350033,0.312144,0.47522366,0.2733206,0.270132772098692,0.2,23.5066386049346
B100097,0.29455948,0.312144,0.3782725,0.25424895,0.1379004614324636,0.2,16.89502307162318
B100098,0.26216152,0.312144,0.3916653,0.65211636,0.8459336471240333,0.4,62.29668235620167
B100099,0.14143111,0.312144,0.3019196,0.34391233,0.08034456089659196,0.0,4.017228044829598
B100100,0.09629103,0.312144,0.3146454,0.48884547,0.21581889087088116,0.2,20.79094454354406
B100101,0.9832913,0.9929214,0.36933115,0.2622851,0.9911670708713506,0.6,79.55835354356753
B100102,0.26216152,0.312144,0.36914742,0.31709853,0.18071103872933167,0.0,9.035551936466584
B100103,0.26216152,0.312144,0.31587854,0.5476209,0.5558940384124331,0.2,37.794701920621655
B100104,0.994609,0.9929214,0.3116075,0.22797212,0.9832718074499425,0.6,79.16359037249711
B100105,0.09629103,0.312144,0.32277834,0.34002924,0.06961431629307704,0.4,23.480715814653852
B100106,0.39260268,0.312144,0.34558904,0.31441322,0.28158132677257386,0.0,14.079066338628692
B100107,0.32742912,0.312144,0.42511255,0.3564774,0.4053578713377296,0.2,30.267893566886485
B100108,0.09629103,0.312144,0.2922931,0.36925882,0.07332284535007833,0.4,23.66614226750392
B100109,0.09629103,0.312144,0.2564914,0.37330619,0.06022533800830884,0.4,23.011266900415446
B100110,0.98827165,0.9929214,0.47771704,0.35644937,0.998272461354963,0.6,79.91362306774815
B100111,0.25197998,0.312144,0.3789958,0.30323622,0.16390436292782945,0.2,18.195218146391472
B100112,0.25197998,0.312144,0.16097885,0.0,0.0027133818578470715,0.2,10.135669092892353
B100113,0.9821483,0.312144,0.29898977,0.44779575,0.967851560373252,0.0,48.392578018662604
